IBIS Report Name,NAICS Code
"ATV, Golf Cart & Snowmobile Manufacturing in the US",336999
ATV Manufacturing in the US,336999
ATV Rentals & Tour Services in the US,532284
Auction Houses in the US,453998
Audio & Video Equipment Distributors in the US,423690
Audio & Video Equipment Manufacturing in the US,334310
Audio & Visual Equipment Rental in the US,532210
Audio Production Studios in the US,512240
Audiobook Publishing in the US,511130
Audiologists in the US,621340
Audit Services in the US,541211
Auto Extended Warranty Providers in the US,524210
Auto Glass Repair & Replacement Franchises,811122
"Auto Leasing, Loans & Sales Financing in the US",522220
Auto Maintenance & Repair Franchises,811111
Auto Mechanics in the US,811111
Auto Parts Manufacturing in the US,336390
Auto Parts Remanufacturing in the US,336390
Auto Parts Stores in the US,441310
Auto Parts Wholesaling in the US,423120
Auto Windshield Repair Services in the US,811122
Automated Guided Vehicle Manufacturing in the US,333924
Automatic Fire Sprinkler System Manufacturing in the US,332919
Automobile & Light Duty Motor Vehicle Manufacturing in the US,336111
Automobile Brakes Manufacturing in the US,336340
Automobile Electronics Manufacturing in the US,336320
Automobile Engine & Parts Manufacturing in the US,336310
Automobile Insurance in the US,524126
Automobile Interior Manufacturing in the US,336360
Automobile Metal Stamping in the US,336370
Automobile Steering & Suspension Manufacturing in the US,336330
Automobile Towing in the US,488410
Automobile Transmission Manufacturing in the US,336350
Automobile Wholesaling in the US,423110
Automotive Coatings Manufacturing in the US,325510
Automotive Glass Manufacturing in the US,327211
Autonomous Underwater Vehicle Manufacturing in the US,334511
Axe Throwing Centers in the US,713990
Axle & Transaxle Manufacturing,336350
Baby Food Manufacturing in the US,311230
Background Check Services in the US,561611
Backpack & Courier Bag Manufacturing in the US,316998
Bacon Production in the US,311615
Bagel Stores,311811
Bail Bond Services in the US,812990
Bakery Cafes in the US,722515
Baking Mix & Prepared Food Production in the US,311824
Ball Bearing Manufacturing in the US,332991
Bankruptcy Lawyers & Attorneys in the US,541110
Barbecue & Grill Manufacturing in the US,335210
Barbecue Restaurants in the US,722511
Barber Shops in the US,812111
Bare Printed Circuit Board Manufacturing in the US,334412
Bars & Nightclubs in the US,722410
Battery Manufacturing in the US,335910
Battery Recycling in the US,562920
Battery Store Franchises,441310
Batting Cages in the US,713990
BBQ & Outdoor Cooking Stores in the US,453998
BBQ Charcoal Manufacturing in the US,325998
BBQ Sauce Production in the US,311941
Beach Equipment Rental in the US,532284
Beauty Supply Stores in the US,446120
"Beauty, Cosmetics & Fragrance Stores in the US",446120
Bed & Breakfast & Hostel Accommodations in the US,721191
Bed & Mattress Stores in the US,442110
Beef & Pork Wholesaling in the US,424470
Beef Cattle Production in the US,112111
Beekeeping in the US,112910
Beer Wholesaling in the US,424810
"Beer, Wine & Liquor Stores in the US",445310
Behavioral Therapists in the US,621330
Benefit Administration Services in the US,524292
Bicycle Dealership and Repair in the US,451110
Bicycle Manufacturing in the US,336991
Bike Rental in the US,532284
Billboard & Outdoor Advertising in the US,541850
Billboard & Sign Manufacturing in the US,339950
Biomass Power in the US,221117
Biometrics Scan Software in the US,511210
Bioplastics Manufacturing in the US,325211
Biotechnology in the US,541714
Bleach Manufacturing,325612
Blind & Shade Manufacturing in the US,337920
Blood & Organ Banks in the US,621991
Blow Dry Bars in the US,812112
Blow Molding Machinery Manufacturing,333220
Board Game Manufacturing in the US,339930
Boat Building in the US,336612
Boat Dealership and Repair in the US,441222
Boat Rentals in the US,532284
Body Armor Manufacturing in the US,339113
Body Piercing Studios,812199
Boiler & Heat Exchanger Manufacturing in the US,332410
Book Publishing in the US,511130
Book Stores in the US,451211
"Book, Magazine & Newspaper Wholesaling in the US",424920
Bottled Water Production in the US,312112
Boutique Hotels in the US,721110
Bowling Centers in the US,713950
Boxing Gyms & Clubs in the US,713940
Boxing Promoters,711320
Brand Name Pharmaceutical Manufacturing in the US,325412
Brazilian Jiu-Jitsu Studios in the US,713940
Bread Production in the US,311812
Breakfast Restaurants & Diners in the US,722511
Breweries in the US,312120
Bridal Stores in the US,448190
Bridge & Elevated Highway Construction in the US,237310
Bridge & Structure Painting Contractors,238320
Bubble Tea Shops in the US,722515
Budget Hotel Franchises in the US,721110
Buffet Restaurants,722511
Building Exterior Cleaners in the US,561790
Building Finishing Contractors in the US,238390
Building Inspectors in the US,541350
Building Lighting Control System Manufacturing in the US,335311
Burger Restaurants in the US,722511
Business Analytics & Enterprise Software Publishing in the US,511210
Business Brokers in the US,531210
Business Certification & IT Schools in the US,611420
Business Coaching in the US,541612
Business Concierge Services in the US,561990
Business Information Resellers in the US,519190
Business Insurance in the US,524210
Business Intelligence Software in the US,511210
Business Process Outsourcing Services in the US,541611
Business Service Centers in the US,561439
Business Valuation Firms in the US,541611
Cabinet & Vanity Manufacturing in the US,337110
Cable Networks in the US,515210
Cable Providers in the US,517311
Cable Shopping Networks,454110
CAD Software Developers in the US,511210
Calligraphy Services in the US,711510
Camera & Film Wholesaling in the US,423410
Camera Stores in the US,443142
Campgrounds & RV Parks in the US,721211
Candle Manufacturing in the US,339999
Candy Production in the US,311340
Candy Stores in the US,445292
Cannabis Equipment & Accessory Stores in the US,453998
Canned Fruit & Vegetable Processing in the US,311421
Car & Automobile Manufacturing in the US,336111
Car Airbag Manufacturing in the US,336390
Car Body Shops in the US,811121
Car Rental in the US,532111
Car Sharing Providers in the US,532111
Car Wash & Auto Detailing Franchises,811192
Car Wash & Auto Detailing in the US,811192
Carbon Dioxide Production in the US,325120
Carbon Fiber & Graphene Manufacturing in the US,325211
Card Reward Program Services in the US,541613
Cardboard Box & Container Manufacturing in the US,322211
Cardiologists in the US,621111
Carpenters in the US,238130
Carpet & Floor Covering Distributors,423220
Carpet Cleaning in the US,561740
Carpet Mills in the US,314110
Casino Hotels in the US,721120
Casting Agencies in the US,561311
Catalog & Directory Printing,323111
Catalytic Converter Manufacturing,336390
Caterers in the US,722320
Cattle & Hog Wholesaling in the US,424520
CBD Product Manufacturing in the US,325411
Celebrity & Sports Agents in the US,711410
Cell Phone Recycling in the US,562920
Cell Phone Repair in the US,811211
Cell Site Operation and Leasing in the US,517312
Cell Therapy in the US,621991
Cement Manufacturing in the US,327310
Cementing Oil & Gas Well Services,213112
Cemetery Services in the US,812220
Ceramics Manufacturing in the US,327110
Cereal Production in the US,311230
Chain Restaurants in the US,722511
Charter Flights in the US,481211
Charter Schools in the US,611110
Check Cashing & Payday Loan Services in the US,522390
Cheese Production in the US,311513
Chemical Product Manufacturing in the US,325998
Chemical Wholesaling in the US,424690
Chicken & Turkey Meat Production in the US,311615
Chicken Egg Production in the US,112310
Child Education & Developmental Center Franchises,624410
Child Recreation Center Franchises in the US,713990
Children's & Infants' Clothing Stores in the US,448130
Children's Book Publishing in the US,511130
Children's Fitness Center Franchises,713940
Children's Specialty Hospitals in the US,622310
Chinese Restaurants in the US,722511
Chipping & Grinding Equipment Manufacturing,333120
Chiropractors in the US,621310
Chlorine Manufacturing,325180
Chocolate Production in the US,311351
Chocolate Stores in the US,445292
Cider Production in the US,312130
Cigar Lounges in the US,453991
Cigarette & Tobacco Manufacturing in the US,312230
Cigarette & Tobacco Products Wholesaling in the US,424940
Circuit Board & Electronic Component Manufacturing in the US,334418
Circuit Training Gyms in the US,713940
"Civic, Social & Youth Organizations in the US",813410
Claims Adjusting in the US,524291
Classic Car Dealers in the US,441120
Clay Brick & Product Manufacturing in the US,327120
Cleaning & Maintenance Supplies Distributors in the US,423850
Climbing Gyms in the US,713990
Clinical Trial Data Management Services in the US,541713
Clinical Trial Support Services in the US,541715
Clothing & Apparel Rental in the US,532281
Clothing & Clothing Accessories Wholesaling in the US,424320
Clothing Alteration Services,811490
Clothing Boutiques in the US,448120
Cloud Security Software in the US,511210
Coal & Natural Gas Power in the US,221112
Coal & Ore Wholesaling in the US,423520
Coal Mining in the US,212100
Coated & Laminated Paper Manufacturing in the US,322220
Cocktail Bars in the US,722410
Cocoa & Drinking Chocolate Production,311351
Coffee & Snack Shops in the US,722515
Coffee Creamer Production in the US,311514
Coffee Production in the US,311920
Coffee Store Franchises,722515
Coffin & Casket Manufacturing in the US,339995
Cold Sore Medication Manufacturing,325412
Collaboration & Project Management Software in the US,511210
Colleges & Universities in the US,611310
Colocation Facilities in the US,518210
Combine Harvester Manufacturing,333111
Comedy Clubs in the US,711110
Comic Book Publishing in the US,511130
Commercial Aircraft Leasing in the US,532411
Commercial Auto Insurance in the US,524126
Commercial Banking in the US,522110
Commercial Building Construction in the US,236220
Commercial Cleaning & Sanitation Services in the US,561720
Commercial Cleaning Service Franchises in the US,561720
Commercial Construction Insurance in the US,524210
Commercial Cooking Equipment Manufacturing in the US,333318
Commercial Dishwasher Manufacturing,333318
Commercial Embroidery Services in the US,323113
Commercial Leasing in the US,531120
Commercial Oven Manufacturing,333318
Commercial Property Remodeling in the US,236220
Commercial Real Estate in the US,531120
Commercial Shelving Manufacturing,337215
Commercial Washing Machine Manufacturing in the US,333318
Commodity Contracts Intermediation in the US,523130
Communication Equipment Manufacturing in the US,334220
Community Colleges in the US,611210
Community Food Services in the US,624210
Community Housing & Homeless Shelters in the US,624221
Company Research Services in the US,541910
Compounding Pharmacies in the US,446110
Computer & Packaged Software Wholesaling in the US,423430
Computer & Printer Leasing in the US,532420
Computer Manufacturing in the US,334111
Computer Peripheral Manufacturing in the US,334118
Computer Rental,532420
Computer Stores in the US,443142
Computer-Aided Design Software Developers in the US,511210
Concert & Event Promotion in the US,711320
Concrete Contractors in the US,238110
Concrete Pipe & Block Manufacturing in the US,327330
Concrete Pipe Manufacturing in the US,327330
Concrete Reinforcing Bar Manufacturing,331110
Confectionery Wholesaling in the US,424450
Conferencing Service Providers in the US,517919
Conservation & Human Rights Organizations in the US,813310
Construction & Mining Equipment Wholesaling in the US,423810
Construction in the US,23
Construction Machinery Manufacturing in the US,333120
Construction Machinery Rentals in the US,532412
Construction Project Management Services in the US,541618
Consumer Electronics & Appliances Rental in the US,532210
Consumer Electronics Stores in the US,443142
Consumer Lawyers & Attorneys in the US,541110
Contact Lens Manufacturing,339115
Contract Injection Molding Manufacturing in the US,326199
Contract Pharmaceutical Research Services in the US,541715
Contract Research Organizations in the US,541715
Contractors' Insurance in the US,524210
Convenience Stores in the US,445120
Convention & Visitor Bureaus in the US,561591
Conveyancing Services in the US,541110
Cookie & Wafer Manufacturing in the US,311821
"Cookie, Cracker & Pasta Production in the US",311820
Cooking Classes in the US,611699
Cooking Oil Recycling in the US,562920
Copier & Office Equipment Wholesaling in the US,423420
Copier & Optical Machinery Manufacturing in the US,333316
"Copper Rolling, Drawing & Extruding in the US",331420
"Copper, Nickel, Lead & Zinc Mining in the US",212230
Corn Farming in the US,111150
"Corn, Wheat & Soybean Wholesaling in the US",424510
Corporate Law Firms in the US,541110
Corporate Wellness Services in the US,624190
Correctional Facilities in the US,922140
Corrosion Protection Engineering Services,541330
Cosmetic & Beauty Products Manufacturing in the US,325620
Cosmetic Dentists in the US,621210
Cosmetology & Beauty Schools in the US,611511
Costume & Team Uniform Manufacturing in the US,315240
Cotton Farming in the US,111920
Cotton Personal-Care Product Manufacturing in the US,322291
Cough & Cold Medicine Manufacturing OTC in the US,325412
Countertop Manufacturing in the US,327991
Couriers & Local Delivery Services in the US,492110
Court Reporting Services in the US,561492
Craft Beer Production in the US,312120
Crane Rental Services in the US,532412
Credit Bureaus & Rating Agencies in the US,561450
Credit Card Issuing in the US,522210
Credit Card Processing & Money Transferring in the US,522320
"Credit Counselors, Surveyors & Appraisers in the US",541990
Credit Repair Services in the US,541990
Credit Unions in the US,522130
Cremation Services in the US,812210
Criminal Lawyers & Attorneys,541110
CRM System Providers in the US,511210
Crop Services in the US,115110
Cruise & Travel Agency Franchises,561510
Cruise Line Operators in the US,483112
Cryogenic Biobanking Services in the US,621991
Cryotherapy in the US,621999
Culinary Arts Schools in the US,611519
Curtain & Drape Manufacturing,314120
"Custody, Asset & Securities Services in the US",523991
Custom Screen Printing in the US,323113
Customer Care Centers in the US,561422
Cut & Sew Apparel Contractors in the US,315210
Cut & Sew Apparel Manufacturing in the US,315200
Cutting Tool & Machine Tool Accessory Manufacturing in the US,333515
Cyber Liability Insurance in the US,524210
Daily Deals Sites,454110
Dairy Farms in the US,112120
Dairy Product Production in the US,311500
Dairy Wholesaling in the US,424430
Damage Restoration Services in the US,561730
Dance Schools in the US,611610
Dance Studios in the US,611610
Dancewear Stores in the US,448190
Dark Fiber Network Operators in the US,517311
Data Center Colocation Services in the US,518210
Data Processing & Hosting Services in the US,518210
Data Recovery Services,541519
Database & Directory Publishing in the US,511140
"Database, Storage & Backup Software Publishing in the US",511210
Dating Services in the US,812990
Day Camps in the US,624110
Day Care in the US,624410
Debt Collection Agencies in the US,561440
Debt Relief Services in the US,541990
Deck & Patio Construction in the US,236115
Demolition & Wrecking in the US,238910
Demolition Equipment Manufacturing,333120
Dental Clinical Instrument Manufacturing in the US,339114
Dental Equipment Dealers in the US,423450
Dental Insurance in the US,524114
Dental Laboratories in the US,339116
Dental Schools in the US,611310
Dentists in the US,621210
Department Stores in the US,452210
Dermatologists in the US,621111
"Design, Editing & Rendering Software Publishing in the US",511210
Dessert Stores in the US,722515
Diagnostic & Medical Laboratories in the US,621510
Diagnostic Imaging Centers in the US,621512
Dialysis Centers in the US,621492
Dialysis Equipment Manufacturing,339112
Diaper Manufacturing in the US,322291
Diesel Engine & Parts Wholesaling in the US,423840
Digital Advertising Agencies in the US,541810
Digital Forensic Services,541990
Digital Printing in the US,323111
Direct Mail Advertising in the US,541860
Direct Selling Companies in the US,454390
Direct Selling of Jewelry & Accessories in the US,454390
Disability Insurance in the US,524210
Discount Department Stores in the US,452311
Dishwasher Manufacturing,335220
Disinfectant Manufacturing in the US,325612
Distilleries in the US,312140
Distribution and Logistics Consulting Services in the US,541614
DNA & DNA Forensic Laboratories in the US,621511
Document Digitization Services in the US,518210
Document Management Services in the US,561410
Document Preparation Services in the US,561410
Dog & Pet Breeders in the US,112990
Dog Park Design Services in the US,541320
Dog Training Services in the US,812910
Dog Walking Services in the US,812910
Dollar & Variety Stores in the US,452319
Domestic Airlines in the US,481111
"Donations, Grants & Endowment in the US",813211
Door Installation & Repair Services in the US,238350
Door Lock & Lockset Manufacturing in the US,332510
Doughnut Stores in the US,722515
Dredging Services in the US,237990
Dried Fruit & Vegetable Snack Production in the US,311423
Driving Schools in the US,611692
Drug & Alcohol Rehabilitation Clinics in the US,622210
Drug & Alcohol Test Kit Manufacturing in the US,339112
"Drug, Cosmetic & Toiletry Wholesaling in the US",424210
Dry Cleaners in the US,812320
Dry Docks & Cargo Inspection Services in the US,488390
Dry Pasta Production in the US,311824
Dry Pet Food Production in the US,311111
Dry-Cleaning Service Franchises in the US,812320
Drywall & Insulation Installers in the US,238310
Dump Truck Services in the US,484220
Dumpster Rental in the US,562111
Durable Baby Goods Stores in the US,448210
"DVD, Game & Video Rental in the US",532280
Dye & Pigment Manufacturing in the US,325130
E-Book Publishing in the US,511130
E-cigarette Manufacturing in the US,312230
E-Commerce & Online Auctions in the US,454110
e-Discovery Consulting Services in the US,541611
e-Discovery Software Publishing in the US,511210
e-Trading Software Developers in the US,511210
Early Childhood Learning Centers in the US,624410
Eating Disorder Clinics in the US,622210
Editorial Services in the US,561410
Education Consultants in the US,611710
Educational Services in the US,611000
Educational Software in the US,511210
Egg & Poultry Wholesaling in the US,424440
Elderly & Disabled Services in the US,624120
Electric Power Transmission in the US,221121
Electric Submersible Pump Manufacturing,333914
Electric Transmission Line & Tower Installation in the US,237130
Electric Vehicle Charging Stations in the US,221118
Electrical Equipment Manufacturing in the US,335300
Electrical Equipment Wholesaling in the US,423610
Electricians in the US,238210
Electricity & Signal Testing Instrument Manufacturing,334515
Electronic & Computer Repair Services in the US,811210
Electronic Access Control System Manufacturing in the US,334290
Electronic Article Surveillance Product Manufacturing in the US,334290
Electronic Cigarette & Vape Shops in the US,453998
Electronic Design Automation Software Developers in the US,511210
Electronic Goods Recycling in the US,562920
Electronic Medical Records Systems in the US,511210
Electronic Part & Equipment Wholesaling in the US,423690
Elevator Installation & Service in the US,238290
Elevator Manufacturing in the US,333921
Emergency & Other Outpatient Care Centers in the US,621493
Emergency Veterinary Services in the US,541940
Employee Assistance Program Services in the US,624190
Employee Relocation Services in the US,561439
Employment & Recruiting Agencies in the US,561311
Employment Law Firms in the US,541110
Endodontists in the US,621210
Energy & Utility Consulting Services in the US,541690
Energy Drink Production in the US,312111
Engine & Turbine Manufacturing in the US,333610
Engine Radiator Manufacturing,336390
Engine Rebuilding & Remanufacturing,811310
Engineered Wood Product Manufacturing in the US,321210
Engineering Services in the US,541330
Engraving Services in the US,339950
Enterprise Resource Planning Software Developers in the US,511210
Entertainment Insurance in the US,524210
Environmental Consulting in the US,541620
Environmental Testing in the US,541380
Epilepsy Medication Manufacturing,325412
Escape Rooms in the US,713990
Essential Oil Manufacturing in the US,325998
Estate Lawyers & Attorneys in the US,541110
Estate Liquidation Services in the US,453310
Ethanol Fuel Production in the US,325193
Ethnic Supermarkets in the US,445110
Excavation Contractors in the US,238910
Executive Search Recruiters in the US,561312
Expert Networks in the US,541990
Expert Witness Consulting Services in the US,541990
Explosives Manufacturing in the US,325920
Extended Stay Hotels in the US,721110
Eye Surgery Clinics in the US,621493
Eyebrow Services in the US,812199
Eyeglasses & Contact Lens Stores in the US,446130
Eyeglasses Frames Manufacturing,339115
"Fabric, Craft & Sewing Supplies Stores in the US",451130
Fabricated Structural Metal Manufacturing in the US,332312
Family Clothing Stores in the US,448140
Family Counseling & Crisis Intervention Services in the US,624190
Family Law & Divorce Lawyers & Attorneys in the US,541110
Family Planning & Abortion Clinics in the US,621410
Fantasy Sports Services in the US,713290
Farm Animal Feed Production in the US,311119
Farm Product Storage & Warehousing in the US,493130
Farm Supplies Wholesaling in the US,424910
Farm Supply Stores in the US,444220
"Farm, Lawn & Garden Equipment Wholesaling in the US",423820
Farmers Markets in the US,445230
Fashion Designers in the US,541490
Fast Food Burger Franchises in the US,722513
Fast Food Chicken Franchises,722513
Fast Food Chicken Restaurants in the US,722513
Fast Food Restaurants in the US,722513
Faucet Manufacturing in the US,332913
Fence & Scaffolding Manufacturing in the US,332618
Fence & Scaffolding Rental,532490
Fence Construction in the US,238990
Ferrous Metal Foundry Products in the US,331510
Fertility Clinics in the US,621111
Fertilizer Manufacturing in the US,325310
Fiber-Optic Cable Manufacturing in the US,335921
Field Service Management Software in the US,511210
Film Animation Services in the US,512110
Finance and Insurance in the US,52
Financial Data Service Providers in the US,518210
Financial Planning & Advice in the US,523930
Fine Arts Schools in the US,611610
Fine Dining Restaurants in the US,722511
Fire & Smoke Alarm Manufacturing in the US,334290
Fire Extinguisher Manufacturing,339999
Fire Protection and Security System Installation Contractors in the US,238210
Fire Truck Manufacturing in the US,336211
Firearm Training in the US,611699
Fireplace Services in the US,238220
Fireworks Retailers in the US,453998
Fish & Seafood Aquaculture in the US,112511
Fish & Seafood Markets in the US,445220
Fish & Seafood Wholesaling in the US,424460
Fishing Boat Charter in the US,487210
Fishing in the US,114000
Flag Manufacturing in the US,314999
Flea Markets in the US,453310
Fleet Car Leasing in the US,532112
Fleet Telematics Systems in the US,334220
Floor Covering Stores in the US,442210
Flooring Installers in the US,238330
Florists in the US,453110
Flour Milling in the US,311211
Flower & Nursery Stock Wholesaling in the US,424930
Fluid Power Equipment Distributors in the US,423830
Flying Schools in the US,611512
Food Courts & Halls in the US,722330
Food Delivery Services in the US,492210
Food Processing Equipment Distributors in the US,423830
Food Processor & Blender Manufacturing in the US,335210
Food Safety Training in the US,611699
Food Service Contractors in the US,722310
Food Trucks in the US,722330
Foot Care Product Manufacturing,339113
Footwear Wholesaling in the US,424340
For-Profit Universities in the US,611310
Foreign Currency Exchange Services in the US,523130
Forensic Accounting Services in the US,541211
Forensic Technology Services in the US,541380
Forest Support Services in the US,115310
Forklift & Conveyor Manufacturing in the US,333922
Forklift Manufacturing in the US,333924
Formal Wear & Costume Rental in the US,532281
Franchise Resale Brokers & Consultants,541618
Fraud Detection Software Developers in the US,511210
Freight Forwarding Brokerages & Agencies in the US,488510
Freight Packing & Logistics Services in the US,488991
Fresh Bread & Bakery Goods Wholesaling in the US,424490
Frozen Cake & Pastry Manufacturing in the US,311813
Frozen Food Production in the US,311410
Frozen Food Wholesaling in the US,424420
Frozen Fruit & Juice Production in the US,311411
Frozen Pizza Production in the US,311412
Frozen Yogurt Stores,722515
Fruit & Nut Farming in the US,111300
Fruit & Vegetable Markets in the US,445230
Fruit & Vegetable Wholesaling in the US,424480
Fuel Dealers in the US,454310
Funeral Homes in the US,812210
Furniture Rental Franchises in the US,532210
Furniture Repair & Reupholstery in the US,811420
Furniture Store Franchises in the US,442110
Furniture Stores in the US,442110
Furniture Wholesaling in the US,423210
Garage Door Installation in the US,238290
Garage Door Manufacturing in the US,332321
Gas Detection Device Manufacturing,334519
Gas Pipeline Transportation in the US,486210
Gas Stations in the US,447110
Gas Stations with Convenience Stores in the US,447110
Gasket & Seal Manufacturing in the US,339991
Gasoline & Petroleum Bulk Stations in the US,424710
Gasoline & Petroleum Wholesaling in the US,424720
Gear & Speed Changer Manufacturing in the US,333612
General Freight Trucking (Less Than Truckload) in the US,484122
General Freight Trucking (Truckload) in the US,484121
General Warehousing & Storage in the US,493110
Generator Rental in the US,532490
Generic Pharmaceutical Manufacturing in the US,325412
Geophysical Services in the US,541360
Geothermal Electricity Plant Operation in the US,221116
Ghost Kitchens in the US,722330
Gift Shops & Card Stores in the US,453220
Gin Distilleries in the US,312140
Glass & Glazing Contractors in the US,238150
Glass Product Manufacturing in the US,327215
Glasses & Contact Lens Manufacturing in the US,339115
Glasses & Contacts Wholesaling in the US,423460
Glucose Meter Manufacturing in the US,334510
Go-Kart Racing Tracks in the US,713990
Gold & Silver Ore Mining in the US,212220
Golf Cart Dealers in the US,441228
Golf Cart Manufacturing in the US,336999
Golf Cart Rentals in the US,532284
Golf Courses & Country Clubs in the US,713910
Golf Driving Ranges & Family Fun Centers in the US,713990
Golf Equipment Stores in the US,451110
Golf Resorts in the US,721110
Graphic Designers in the US,541430
Greeting Cards & Other Publishing in the US,511191
Grocery Wholesaling in the US,424410
Group Purchasing Organizations in the US,561990
Gun & Ammunition Stores in the US,451110
Guns & Ammunition Manufacturing in the US,332994
Gutter Services in the US,238170
Gym & Exercise Equipment Manufacturing in the US,339920
Gym & Fitness Franchises in the US,713940
"Gym, Health & Fitness Clubs in the US",713940
Gynecologists & Obstetricians in the US,621111
Gypsum Product Manufacturing in the US,327420
Hair & Nail Salons in the US,812112
Hair Extension Services in the US,812112
Hair Loss Treatment & Removal in the US,812199
Hair Loss Treatment Manufacturing in the US,325620
Hair Removal Services in the US,812199
Hair Salons in the US,812112
Hairdressing & Barber Franchises in the US,812112
Hand Sanitizer Manufacturing in the US,325611
Hand Tool & Cutlery Manufacturing in the US,332216
Hand Tool Manufacturing in the US,332216
"Handbag, Luggage & Accessory Stores in the US",448320
Handyman Service Franchises,561499
Handyman Services in the US,561499
Hard Seltzer Production in the US,312130
Hardware Manufacturing in the US,332510
Hardware Store Franchises,444130
Hardware Stores in the US,444130
Hat & Cap Stores in the US,448150
Hay & Crop Farming in the US,111940
Hazardous Waste Collection in the US,562112
Headphone Manufacturing in the US,334310
Health & Medical Insurance in the US,524114
Health & Medical Reinsurance,524130
Health & Welfare Funds in the US,525120
Health & Wellness Spas in the US,812199
Health Food & Supplement Store Franchises,446191
Health Retreats in the US,721110
Health Stores in the US,446191
Healthcare and Social Assistance in the US,62
Healthcare Consultants in the US,541611
Healthcare Lawyers & Attorneys in the US,541110
Healthcare Staff Recruitment Agencies in the US,561311
Hearing Aid Clinics,446199
Hearing Aid Manufacturing in the US,334510
Hearing Aid Stores in the US,446199
Heating & Air Conditioning Equipment Manufacturing in the US,333415
Heating & Air Conditioning Wholesaling in the US,423730
Heating & Air-Conditioning Contractors in the US,238220
Heavy Duty Truck Parts Dealers in the US,423140
Heavy Engineering Construction in the US,237990
Heavy Equipment Rental in the US,532412
Heavy-Duty Diesel Engine Manufacturing in the US,333618
Heavy-Duty OTR Tire Manufacturing,326211
Hedge Funds in the US,523920
Helium Production,325120
Herbal Tea Production in the US,311920
High Frequency Trading in the US,523210
High Fructose Corn Syrup Production,311221
Hiking & Outdoor Equipment Stores in the US,451110
Historic Sites in the US,712120
HMO Providers in the US,524114
Hobby & Toy Stores in the US,451120
Hog & Pig Farming in the US,112210
Hoist & Winch Manufacturing,333923
Home Automation Services in the US,238210
Home Builders in the US,236115
Home Care Providers in the US,621610
Home Furnishing Wholesaling in the US,423220
Home Furnishings Stores in the US,442200
Home Furniture Rental in the US,532210
Home Improvement Stores in the US,444110
Home Medical Equipment Rentals in the US,532283
Home Warranty Providers in the US,524210
Homeopathic Medicine Manufacturing,325412
Homeopaths in the US,621399
Homeowners' Associations in the US,813990
Homeowners' Insurance in the US,524126
